"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1904","Roy Patterson","White Sox","3.49","1.31","2.67","0.05","","","",".241","1.04",".268","71.5%","94","97","","2.29","2.16","0.13","","","1010071"
"1971","Don Sutton","Dodgers","6.58","1.87","3.53","0.34","18.3%","5.2%","13.1%",".231","1.08",".278","74.4%","77","68","","2.54","2.16","0.39","","","1012745"
"1878","Tommy Bond","Red Caps","3.08","0.56","5.52","0.08","","","",".275","1.13",".300","64.0%","90","94","","2.06","2.16","-0.10","","","1001158"
"1914","Jack Quinn","Terrapins","4.31","1.71","2.52","0.08","","","",".257","1.17",".293","69.1%","79","76","","2.60","2.16","0.44","","","1010605"
"1915","Jeff Tesreau","Giants","5.18","2.21","2.35","0.12","","","",".214","1.01",".252","70.1%","87","82","","2.29","2.16","0.13","","","1012936"
"1906","Bob Ewing","Reds","4.54","1.88","2.42","0.13","","","",".234","1.07",".268","69.7%","86","75","","2.38","2.16","0.21","","","1003880"
"1914","Pete Alexander","Phillies","5.43","1.93","2.82","0.20","","","",".246","1.14",".288","69.8%","84","73","","2.38","2.17","0.22","","","1000128"
"1908","Bugs Raymond","Cardinals","4.02","2.64","1.53","0.06","","","",".205","1.02",".233","66.9%","88","93","","2.03","2.17","-0.14","","","1010731"
"1904","Kid Nichols","Cardinals","3.80","1.42","2.68","0.09","","","",".231","1.00",".259","70.9%","75","79","","2.02","2.17","-0.15","","","1009564"
"1902","Rube Waddell","Athletics","6.84","2.08","3.28","0.23","","","",".223","1.04",".276","72.2%","56","66","","2.05","2.17","-0.12","","","1013467"
"2000","Pedro Martinez","Red Sox","11.78","1.33","8.88","0.71","34.8%","3.9%","30.8%",".166","0.74",".236","86.6%","35","48","","1.74","2.17","-0.43","","","200"
"1917","Art Nehf","Braves","3.90","1.50","2.59","0.15","11.1%","4.3%","6.8%",".227","1.01",".253","69.1%","83","88","","2.16","2.17","-0.01","","","1009485"
"1907","Tully Sparks","Phillies","3.06","1.73","1.76","0.07","","","",".228","1.03",".250","72.8%","81","85","","2.00","2.17","-0.17","","","1012306"
"1988","Roger Clemens","Red Sox","9.92","2.11","4.69","0.58","27.4%","5.8%","21.5%",".218","1.06",".291","73.5%","72","57","","2.93","2.17","0.76","","","815"
"1916","Al Demaree","Phillies","4.11","1.52","2.71","0.13","11.5%","4.3%","7.3%",".235","1.05",".265","69.1%","97","80","","2.62","2.17","0.45","","","1003187"
