"Season","Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"1898","Jesse Tannehill","Pirates","2.56","1.74","1.48","0.06","","","",".268","1.23",".289","64.9%","84","84","","2.95","2.86","0.09","","","1012822"
"1914","Lefty Tyler","Braves","4.64","3.35","1.39","0.23","","","",".244","1.28",".277","70.7%","91","96","","2.69","2.86","-0.17","","","1013252"
"1969","Dock Ellis","Pirates","7.12","3.13","2.28","0.58","18.9%","8.3%","10.6%",".246","1.29",".295","69.4%","101","85","","3.58","2.86","0.72","","","1003747"
"1960","Jim Bunning","Tigers","7.18","2.29","3.14","0.71","19.6%","6.3%","13.4%",".229","1.12",".271","75.8%","70","68","","2.79","2.86","-0.07","","","1001653"
"1915","Larry Cheney","- - -","4.49","4.09","1.10","0.06","","","",".233","1.31",".269","63.5%","118","106","","3.24","2.86","0.38","","","1002176"
"2010","Adam Wainwright","Cardinals","8.32","2.19","3.80","0.59","23.4%","6.2%","17.3%",".219","1.05",".275","79.1%","62","73","76","2.42","2.86","-0.43","3.02","3.11","2233"
"1917","George Mogridge","Yankees","2.11","1.79","1.18","0.23","6.0%","5.1%","0.9%",".255","1.14",".267","66.8%","111","102","","2.98","2.86","0.12","","","1009029"
"1903","Doc White","White Sox","3.42","2.07","1.65","0.12","","","",".234","1.09",".258","66.2%","75","107","","2.13","2.86","-0.73","","","1013864"
"1963","Dean Chance","Angels","6.10","3.27","1.87","0.36","15.9%","8.5%","7.4%",".239","1.29",".281","69.8%","93","82","","3.19","2.86","0.34","","","1002130"
"1962","Don Drysdale","Dodgers","6.64","2.23","2.97","0.60","18.0%","6.1%","12.0%",".227","1.11",".265","72.1%","78","81","","2.83","2.86","-0.02","","","1003516"
"1943","Hank Wyse","Cubs","2.60","1.96","1.32","0.23","7.0%","5.3%","1.7%",".260","1.24",".276","72.9%","89","89","","2.94","2.86","0.08","","","1014315"
"1883","John Ward","Gothams","3.93","1.01","3.90","0.10","","","",".262","1.12",".294","47.2%","87","92","","2.70","2.86","-0.16","","","1013615"
"1918","Bill Sherdel","Cardinals","1.97","2.42","0.82","0.15","5.4%","6.6%","-1.2%",".251","1.22",".263","66.7%","99","107","","2.71","2.86","-0.15","","","1011869"
"1876","Joe Borden","Red Caps","1.40","2.10","0.67","0.16","","","",".294","1.41",".303","50.6%","126","125","","2.89","2.86","0.02","","","1001198"
"1969","Dick Bosman","Senators","4.62","1.82","2.54","0.51","13.0%","5.1%","7.9%",".216","1.01",".237","76.0%","62","77","","2.19","2.86","-0.67","","","1001215"
"1910","Bob Groom","Senators","3.42","2.69","1.27","0.28","","","",".251","1.25",".273","66.8%","114","120","","2.76","2.86","-0.10","","","1005081"
"1943","Denny Galehouse","Browns","4.58","2.97","1.54","0.32","12.0%","7.8%","4.2%",".249","1.30",".279","75.5%","81","82","","2.77","2.86","-0.09","","","1004443"
"1915","Claude Hendrix","Whales","3.38","2.65","1.27","0.22","","","",".242","1.19",".263","66.8%","105","104","","3.00","2.86","0.14","","","1005638"
"2011","Brandon McCarthy","Athletics","6.49","1.32","4.92","0.58","17.8%","3.6%","14.2%",".253","1.13",".296","67.6%","84","73","82","3.32","2.86","0.46","3.30","3.48","4662"
"1981","Bob Knepper","Astros","4.31","2.18","1.97","0.29","12.2%","6.2%","6.0%",".223","1.06",".248","79.1%","67","88","","2.18","2.86","-0.68","","","1007031"
"1968","Claude Osteen","Dodgers","4.22","1.92","2.20","0.50","11.3%","5.1%","6.2%",".269","1.27",".294","70.8%","112","110","","3.09","2.86","0.22","","","1009878"
"1885","Jack Lynch","Metropolitans","4.20","1.00","4.21","0.40","","","",".277","1.19",".306","49.2%","122","104","","3.61","2.86","0.75","","","1007864"
"1966","Juan Marichal","Giants","6.50","1.05","6.17","0.94","18.8%","3.1%","15.8%",".200","0.86",".221","80.7%","62","83","","2.23","2.86","-0.64","","","1008106"
"1960","Mike McCormick","Giants","5.48","2.31","2.37","0.53","14.9%","6.3%","8.6%",".236","1.16",".267","75.8%","74","82","","2.70","2.86","-0.16","","","1008420"
"1905","Earl Moore","Naps","4.38","3.08","1.42","0.20","","","",".234","1.20",".265","69.2%","102","116","","2.64","2.86","-0.22","","","1009103"
"1915","Ray Caldwell","Yankees","3.84","3.16","1.22","0.18","","","",".236","1.22",".263","71.2%","97","97","","2.89","2.86","0.03","","","1001832"
"1972","Gary Nolan","Reds","4.60","1.53","3.00","0.66","13.1%","4.4%","8.7%",".223","1.01",".241","81.4%","60","90","","1.99","2.86","-0.87","","","1009616"
"1989","Chris Bosio","Brewers","6.63","1.84","3.60","0.61","17.9%","5.0%","12.9%",".246","1.16",".288","73.7%","75","77","","2.95","2.86","0.09","","","1001212"
"1911","Joe Lake","Browns","2.88","1.67","1.73","0.13","","","",".287","1.32",".310","61.1%","101","94","","3.30","2.87","0.44","","","1007262"
"1885","Charley Radbourn","Grays","3.11","1.68","1.86","0.08","","","",".252","1.14",".275","59.4%","81","98","","2.20","2.87","-0.66","","","1010631"
"1937","Van Mungo","Dodgers","6.82","3.13","2.18","0.17","18.4%","8.4%","9.9%",".224","1.19",".277","68.1%","73","70","","2.91","2.87","0.04","","","1009321"
"1982","John Candelaria","Pirates","6.85","1.91","3.59","0.67","18.9%","5.3%","13.6%",".250","1.16",".296","76.8%","80","80","","2.94","2.87","0.07","","","1001909"
"1910","Doc Crandall","Giants","3.16","1.86","1.70","0.43","","","",".249","1.14",".264","68.3%","84","99","","2.56","2.87","-0.31","","","1002730"
"1917","Lefty Williams","White Sox","3.33","3.17","1.05","0.12","8.8%","8.4%","0.4%",".251","1.31",".275","70.7%","112","104","","2.97","2.87","0.11","","","1014015"
"1910","Ed Summers","Tigers","3.35","2.45","1.37","0.33","","","",".254","1.23",".273","72.9%","97","109","","2.53","2.87","-0.33","","","1012719"
"1972","Phil Niekro","Braves","5.23","1.69","3.09","0.70","14.3%","4.6%","9.7%",".233","1.09",".256","71.1%","83","81","","3.06","2.87","0.19","","","1009583"
"1983","John Candelaria","Pirates","7.15","2.05","3.49","0.68","19.7%","5.7%","14.1%",".255","1.19",".304","76.0%","87","76","","3.23","2.87","0.37","","","1001909"
"1888","Scott Stratton","Colonels","3.24","1.77","1.83","0.23","","","",".274","1.26",".297","43.6%","117","98","","3.64","2.87","0.77","","","1012603"
"1982","Joaquin Andujar","Cardinals","4.64","1.69","2.74","0.37","13.0%","4.7%","8.2%",".237","1.08",".266","75.0%","68","82","","2.47","2.87","-0.39","","","1000266"
"1975","Jon Matlack","Mets","6.06","2.28","2.66","0.59","16.1%","6.1%","10.1%",".250","1.23",".288","67.9%","97","81","","3.38","2.87","0.52","","","1008246"
"1959","Larry Jackson","Cardinals","5.10","2.25","2.27","0.46","13.4%","5.9%","7.5%",".268","1.31",".302","73.6%","79","71","","3.30","2.87","0.44","","","1006304"
"1919","Al Mamaux","Robins","3.61","2.98","1.21","0.09","9.9%","8.2%","1.7%",".236","1.20",".262","64.3%","89","95","","2.66","2.87","-0.20","","","1008049"
"1984","Fernando Valenzuela","Dodgers","8.28","3.66","2.26","0.48","22.3%","9.8%","12.4%",".225","1.24",".285","70.8%","88","83","","3.03","2.87","0.17","","","1013327"
"1919","Frank Miller","Pirates","2.63","1.52","1.74","0.27","7.4%","4.3%","3.1%",".225","1.01",".237","64.8%","103","96","","3.03","2.87","0.17","","","1008897"
"1904","Norwood Gibson","Americans","3.69","2.67","1.38","0.26","","","",".219","1.09",".240","65.6%","84","113","","2.21","2.87","-0.66","","","1004670"
"2005","Roger Clemens","Astros","7.88","2.64","2.98","0.47","22.1%","7.4%","14.7%",".195","1.01",".243","82.3%","44","67","78","1.87","2.87","-0.99","3.31","3.47","815"
"1886","John Clarkson","White Stockings","6.04","1.66","3.64","0.39","","","",".241","1.08",".285","53.9%","68","81","","2.41","2.87","-0.46","","","1002293"
"1914","Joe Boehling","Senators","4.18","3.49","1.20","0.14","","","",".246","1.31",".277","72.5%","111","107","","3.03","2.87","0.16","","","1001115"
"1917","Guy Morton","Indians","3.47","3.30","1.05","0.17","9.4%","9.0%","0.5%",".265","1.35",".292","67.5%","98","98","","2.74","2.87","-0.13","","","1009232"
"1983","Dave Righetti","Yankees","7.01","2.78","2.52","0.50","18.8%","7.4%","11.3%",".233","1.20",".280","67.8%","88","74","","3.44","2.87","0.57","","","1010958"
"1916","Carl Mays","Red Sox","2.79","2.72","1.03","0.11","7.8%","7.6%","0.2%",".234","1.15",".253","73.9%","88","106","","2.39","2.87","-0.48","","","1008313"
"1983","Jerry Reuss","Dodgers","5.76","2.01","2.86","0.48","15.3%","5.4%","10.0%",".264","1.27",".304","71.2%","84","79","","2.94","2.87","0.07","","","1010853"
"1942","Tommy Bridges","Tigers","5.02","3.16","1.59","0.31","13.1%","8.2%","4.9%",".242","1.29",".275","73.9%","70","77","","2.74","2.87","-0.13","","","1001421"
"1958","Whitey Ford","Yankees","5.95","2.54","2.34","0.57","16.6%","7.1%","9.5%",".216","1.08",".247","80.7%","56","79","","2.01","2.87","-0.86","","","1004227"
"1990","Nolan Ryan","Rangers","10.24","3.26","3.14","0.79","28.4%","9.1%","19.3%",".186","1.03",".244","68.5%","88","73","","3.44","2.87","0.57","","","1011348"
"1912","Rube Marquard","Giants","5.35","2.44","2.19","0.27","","","",".256","1.24",".297","72.1%","77","84","","2.57","2.87","-0.31","","","1008125"
"1912","Earl Hamilton","Browns","5.01","3.10","1.62","0.07","","","",".245","1.26",".286","64.3%","99","94","","3.24","2.87","0.37","","","1005273"
"1942","Johnny Beazley","Cardinals","3.80","3.05","1.25","0.17","10.2%","8.2%","2.0%",".222","1.18",".246","75.6%","63","81","","2.13","2.87","-0.74","","","1000735"
"1902","Bill Bernhard","- - -","2.31","1.47","1.57","0.16","","","",".216","0.94",".229","65.4%","61","88","","2.15","2.87","-0.72","","","1000891"
"2015","Madison Bumgarner","Giants","9.65","1.61","6.00","0.87","26.9%","4.5%","22.4%",".220","1.01",".282","77.9%","78","78","78","2.93","2.87","0.05","3.02","3.00","5524"
"1914","Red Ames","Reds","3.88","2.85","1.36","0.24","","","",".247","1.24",".273","68.6%","94","98","","2.64","2.87","-0.24","","","1000210"
"1874","Cherokee Fisher","Dark Blues","0.31","0.28","1.10","0.03","","","",".312","1.31",".314","33.4%","96","91","","3.04","2.87","0.16","","","1004078"
"1919","Lee Meadows","- - -","4.17","2.84","1.47","0.18","11.4%","7.7%","3.6%",".244","1.23",".275","70.2%","86","94","","2.59","2.87","-0.29","","","1008705"
"1888","Gus Krock","White Stockings","4.27","1.19","3.58","0.53","","","",".235","1.00",".257","64.2%","80","91","","2.44","2.87","-0.44","","","1007169"
"1904","Togie Pittinger","Beaneaters","3.92","3.86","1.01","0.03","","","",".240","1.32",".271","67.5%","99","108","","2.66","2.87","-0.22","","","1010376"
"1967","Chris Short","Phillies","6.41","3.34","1.92","0.41","17.4%","9.1%","8.3%",".221","1.19",".262","81.4%","71","89","","2.39","2.87","-0.48","","","1011931"
"1949","Howie Pollet","Cardinals","4.21","2.30","1.83","0.35","11.2%","6.1%","5.1%",".252","1.24",".279","75.6%","67","70","","2.77","2.87","-0.10","","","1010423"
"1902","Joe McGinnity","- - -","2.71","2.00","1.36","0.10","","","",".256","1.19",".276","65.5%","85","92","","2.84","2.88","-0.03","","","1008527"
"1905","Carl Lundgren","Cubs","3.67","2.82","1.30","0.16","","","",".217","1.09",".240","71.7%","76","105","","2.23","2.88","-0.64","","","1007836"
"1990","Frank Viola","Mets","6.56","2.16","3.03","0.54","17.9%","5.9%","12.0%",".238","1.15",".280","76.9%","73","77","","2.67","2.88","-0.21","","","1013435"
"1884","Pud Galvin","Bisons","5.22","0.89","5.86","0.33","","","",".240","0.99",".276","62.8%","65","80","","1.99","2.88","-0.88","","","1004469"
"1957","Billy Pierce","White Sox","5.99","2.49","2.41","0.63","16.1%","6.7%","9.4%",".230","1.16",".262","73.5%","88","76","","3.26","2.88","0.38","","","1010326"
"1903","Bill Reidy","- - -","1.78","1.29","1.38","0.06","","","",".306","1.39",".321","60.5%","116","98","","3.61","2.88","0.74","","","1010796"
"2011","CC Sabathia","Yankees","8.72","2.31","3.77","0.64","23.4%","6.2%","17.2%",".251","1.23",".318","77.0%","71","69","75","3.00","2.88","0.12","3.02","3.13","404"
"1903","Tully Sparks","Phillies","3.19","2.03","1.57","0.11","","","",".262","1.23",".286","66.0%","84","91","","2.72","2.88","-0.16","","","1012306"
"1917","Allen Sothoron","Browns","2.77","3.12","0.89","0.07","7.4%","8.4%","-1.0%",".249","1.28",".269","63.4%","109","106","","2.83","2.88","-0.05","","","1012288"
"1909","Jack Rowan","Reds","3.23","4.15","0.78","0.00","","","",".225","1.28",".250","70.6%","111","113","","2.79","2.88","-0.09","","","1011250"
"1919","Urban Shocker","Browns","3.67","2.35","1.56","0.26","10.1%","6.5%","3.7%",".244","1.18",".268","72.7%","82","89","","2.69","2.88","-0.19","","","1011918"
"1917","Ray Caldwell","Yankees","3.89","2.90","1.34","0.31","10.9%","8.1%","2.8%",".233","1.17",".257","70.1%","107","103","","2.86","2.88","-0.02","","","1001832"
"1920","Al Mamaux","Robins","4.77","2.97","1.60","0.09","13.2%","8.3%","5.0%",".247","1.23",".286","71.6%","85","87","","2.69","2.88","-0.19","","","1008049"
"1882","Harry Arundel","Alleghenys","3.53","1.73","2.04","0.23","","","",".314","1.48",".343","38.0%","174","103","","4.65","2.88","1.77","","","1000330"
"1969","Jim Bunning","- - -","6.65","2.50","2.66","0.64","17.6%","6.6%","11.0%",".257","1.28",".301","70.4%","106","87","","3.69","2.88","0.81","","","1001653"
"1885","Dupee Shaw","Grays","4.37","2.23","1.96","0.16","","","",".233","1.11",".265","53.9%","95","99","","2.57","2.88","-0.31","","","1011821"
"2014","Adam Wainwright","Cardinals","7.10","1.98","3.58","0.40","19.9%","5.6%","14.4%",".219","1.03",".267","78.0%","66","79","90","2.38","2.88","-0.50","3.34","3.52","2233"
"1905","Harry McIntire","Superbas","3.94","2.94","1.34","0.17","","","",".281","1.43",".312","60.3%","128","108","","3.70","2.88","0.82","","","1008571"
"1945","Steve Gromek","Indians","3.62","2.37","1.53","0.22","9.8%","6.4%","3.4%",".240","1.18",".263","75.4%","80","87","","2.55","2.88","-0.34","","","1005080"
"1884","John Horan","Browns/Stogies","5.05","2.20","2.29","0.00","","","",".254","1.20",".298","38.1%","117","110","","3.49","2.88","0.61","","","1006023"
"1904","Oscar Jones","Superbas","2.29","2.20","1.04","0.17","","","",".267","1.27",".282","65.6%","104","111","","2.75","2.88","-0.14","","","1006580"
"1902","Dummy Taylor","- - -","3.64","2.42","1.51","0.15","","","",".259","1.25",".286","64.2%","77","105","","2.19","2.88","-0.70","","","1012867"
"1974","Steve Busby","Royals","6.10","2.83","2.15","0.43","16.2%","7.5%","8.7%",".254","1.29",".298","73.1%","91","81","","3.39","2.88","0.50","","","1001745"
"1906","Bob Rhoads","Naps","2.54","2.63","0.97","0.14","","","",".226","1.11",".241","74.8%","68","114","","1.80","2.88","-1.08","","","1010881"
"1996","Kevin Brown","Marlins","6.14","1.27","4.82","0.31","17.6%","3.6%","13.9%",".218","0.94",".259","78.3%","46","67","","1.89","2.88","-0.99","","","642"
"1978","Bert Blyleven","Pirates","6.72","2.44","2.76","0.63","18.0%","6.5%","11.5%",".231","1.16",".270","73.5%","83","80","","3.03","2.88","0.14","","","1001098"
"1911","Jim Scott","White Sox","5.19","3.28","1.58","0.12","","","",".238","1.24",".278","71.8%","74","96","","2.39","2.88","-0.49","","","1011684"
"1940","Bob Feller","Indians","7.33","3.32","2.21","0.37","20.0%","9.1%","11.0%",".207","1.13",".256","76.0%","65","74","","2.61","2.88","-0.27","","","1003975"
"1971","Clay Kirby","Padres","7.78","3.47","2.24","0.67","20.9%","9.3%","11.6%",".213","1.18",".257","75.6%","85","90","","2.83","2.89","-0.06","","","1006960"
"1910","Harry Gaspar","Reds","2.42","2.45","0.99","0.20","","","",".249","1.21",".264","72.1%","88","106","","2.59","2.89","-0.30","","","1004560"
"1968","Rick Wise","Phillies","4.80","1.83","2.62","0.59","12.5%","4.8%","7.7%",".286","1.36",".317","64.8%","153","102","","4.55","2.89","1.66","","","1014155"
"1904","Frank Corridon","- - -","3.61","3.01","1.20","0.18","","","",".243","1.24",".268","72.7%","99","113","","2.64","2.89","-0.25","","","1002640"
"1904","Hooks Wiltse","Giants","5.74","3.33","1.72","0.44","","","",".244","1.28",".283","73.2%","104","106","","2.84","2.89","-0.04","","","1014116"
"1946","Fred Hutchinson","Tigers","6.00","2.87","2.09","0.61","16.2%","7.7%","8.4%",".234","1.21",".268","74.7%","86","82","","3.09","2.89","0.20","","","1006238"
"1981","Steve Rogers","Expos","4.87","2.30","2.12","0.39","13.3%","6.3%","7.1%",".245","1.18",".276","70.3%","97","85","","3.42","2.89","0.53","","","1011138"
"2005","Jake Peavy","Padres","9.58","2.22","4.32","0.80","26.6%","6.2%","20.4%",".215","1.04",".276","76.9%","74","71","70","2.88","2.89","-0.01","3.00","2.96","1051"
"1969","Mike Cuellar","Orioles","5.64","2.45","2.30","0.56","16.0%","7.0%","9.1%",".202","1.00",".228","74.3%","67","77","","2.38","2.89","-0.50","","","1002853"
"1942","Tex Hughson","Red Sox","3.62","2.40","1.51","0.32","9.8%","6.5%","3.3%",".240","1.19",".261","75.6%","70","81","","2.59","2.89","-0.29","","","1006169"
"1944","Claude Passeau","Cubs","3.53","1.98","1.78","0.32","9.4%","5.3%","4.1%",".262","1.25",".284","74.9%","82","82","","2.89","2.89","0.01","","","1010046"
"1914","Al Schulz","- - -","4.74","3.93","1.21","0.14","","","",".250","1.37",".287","66.1%","113","99","","3.57","2.89","0.68","","","1011623"
"1914","Erskine Mayer","Phillies","3.25","2.55","1.27","0.22","","","",".254","1.24",".275","69.1%","91","100","","2.58","2.89","-0.31","","","1008297"
"1914","Frank Smith","Terrapins","4.28","2.42","1.77","0.41","","","",".268","1.30",".296","65.3%","90","96","","2.99","2.89","0.10","","","1012139"
"1985","Bret Saberhagen","Royals","6.04","1.45","4.16","0.73","17.0%","4.1%","12.9%",".237","1.06",".269","76.5%","69","72","","2.87","2.89","-0.02","","","1011355"
"1910","Charley Hall","Red Sox","4.53","3.48","1.30","0.29","","","",".211","1.14",".237","72.4%","75","117","","1.91","2.89","-0.98","","","1005239"
"1995","Hideo Nomo","Dodgers","11.10","3.67","3.03","0.66","30.3%","10.0%","20.3%",".178","1.06",".246","76.8%","65","70","","2.54","2.89","-0.35","","","666"
"1906","Ed Reulbach","Cubs","3.88","3.80","1.02","0.08","","","",".173","1.01",".196","79.2%","63","112","","1.65","2.89","-1.24","","","1010850"
"1952","Allie Reynolds","Yankees","5.89","3.57","1.65","0.37","16.0%","9.7%","6.3%",".217","1.19",".253","80.3%","59","83","","2.06","2.89","-0.83","","","1010860"
"1942","Bucky Walters","Reds","3.87","2.59","1.49","0.28","10.3%","6.9%","3.4%",".228","1.17",".250","69.0%","83","86","","2.66","2.89","-0.23","","","1013583"
"1902","Togie Pittinger","Beaneaters","4.02","2.96","1.36","0.09","","","",".247","1.25",".278","73.4%","88","100","","2.52","2.89","-0.37","","","1010376"
"1968","Dick Selma","Mets","6.21","2.86","2.17","0.58","16.6%","7.7%","9.0%",".230","1.19",".266","75.2%","93","103","","2.76","2.89","-0.13","","","1011737"
"1968","Jim Maloney","Reds","7.87","3.48","2.26","0.74","21.0%","9.3%","11.7%",".234","1.27",".284","68.4%","113","96","","3.61","2.89","0.72","","","1008039"
"2012","Clayton Kershaw","Dodgers","9.05","2.49","3.63","0.63","25.4%","7.0%","18.4%",".204","1.02",".262","77.9%","67","74","83","2.53","2.89","-0.36","3.25","3.31","2036"
"1980","Nolan Ryan","Astros","7.70","3.77","2.04","0.39","20.4%","10.0%","10.4%",".233","1.30",".291","70.6%","99","84","","3.35","2.89","0.46","","","1011348"
"1946","Dizzy Trout","Tigers","4.92","3.16","1.56","0.36","13.2%","8.5%","4.7%",".234","1.23",".265","78.8%","65","82","","2.34","2.89","-0.55","","","1013196"
"1898","Doc McJames","Orioles","4.28","2.72","1.58","0.12","","","",".237","1.18",".269","68.3%","65","83","","2.36","2.89","-0.54","","","1008576"
"1905","George Mullin","Tigers","4.35","3.57","1.22","0.10","","","",".236","1.27",".269","67.7%","95","110","","2.51","2.90","-0.38","","","1009302"
"1911","Hooks Wiltse","Giants","4.42","1.87","2.36","0.34","","","",".251","1.15",".280","64.8%","99","84","","3.27","2.90","0.37","","","1014116"
"1916","Clarence Mitchell","Reds","2.40","2.08","1.16","0.18","6.4%","5.5%","0.9%",".276","1.32",".292","68.7%","120","110","","3.14","2.90","0.25","","","1008998"
"2005","Chris Carpenter","Cardinals","7.93","1.90","4.18","0.67","22.4%","5.4%","17.0%",".227","1.06",".278","75.6%","68","69","69","2.83","2.90","-0.07","2.93","3.02","1292"
"1907","Bill Dineen","- - -","2.20","1.96","1.12","0.38","","","",".269","1.26",".279","65.1%","117","127","","2.92","2.90","0.02","","","1003317"
"1993","Kevin Appier","Royals","7.01","3.05","2.30","0.30","19.5%","8.5%","11.0%",".210","1.11",".258","75.3%","58","68","","2.56","2.90","-0.33","","","3"
"1908","Cy Morgan","Red Sox","4.35","3.95","1.10","0.31","","","",".223","1.25",".249","73.4%","101","132","","2.46","2.90","-0.44","","","1009174"
"1904","Jack Cronin","Superbas","3.22","2.32","1.39","0.29","","","",".247","1.18",".266","67.0%","102","110","","2.70","2.90","-0.20","","","1002794"
"1884","Alex Voss","- - -","4.85","1.47","3.31","0.15","","","",".293","1.33",".336","44.0%","126","111","","3.72","2.90","0.83","","","1013457"
"1998","Randy Johnson","- - -","12.12","3.17","3.83","0.85","32.5%","8.5%","24.0%",".222","1.18",".320","74.2%","72","65","","3.28","2.90","0.38","","","60"
"1905","Doc Scanlan","Superbas","4.87","3.75","1.30","0.14","","","",".238","1.30",".275","65.3%","101","106","","2.92","2.90","0.02","","","1011490"
"2015","Chris Archer","Rays","10.70","2.80","3.82","0.81","29.0%","7.6%","21.4%",".219","1.14",".295","73.1%","83","73","74","3.23","2.90","0.33","3.01","3.08","6345"
"2017","Max Scherzer","Nationals","12.02","2.47","4.87","0.99","34.4%","7.1%","27.3%",".176","0.90",".245","80.7%","57","66","76","2.51","2.90","-0.39","3.28","2.98","3137"
"1888","Lee Viau","Red Stockings","3.81","2.55","1.49","0.16","","","",".232","1.14",".259","57.8%","85","99","","2.65","2.90","-0.25","","","1013420"
"1985","Nolan Ryan","Astros","8.11","3.69","2.20","0.47","21.3%","9.7%","11.6%",".233","1.29",".293","68.8%","112","84","","3.80","2.90","0.90","","","1011348"
"1942","Bill Lee","Cubs","3.07","2.75","1.12","0.16","8.0%","7.1%","0.9%",".254","1.31",".274","67.0%","118","85","","3.85","2.90","0.95","","","1007447"
"1910","Jack Rowan","Reds","3.72","3.62","1.03","0.14","","","",".247","1.33",".275","66.8%","99","104","","2.93","2.90","0.03","","","1011250"
"1972","Rudy May","Angels","7.41","3.59","2.06","0.66","19.9%","9.7%","10.3%",".211","1.19",".252","74.0%","102","96","","2.94","2.90","0.04","","","1008310"
"1913","George McConnell","Yankees","3.60","3.00","1.20","0.10","","","",".242","1.23",".269","61.5%","108","99","","3.20","2.90","0.30","","","1008406"
"1919","Jim Shaw","Senators","3.76","2.96","1.27","0.15","10.4%","8.2%","2.2%",".244","1.22",".272","71.1%","87","94","","2.73","2.90","-0.17","","","1011824"
"1946","Denny Galehouse","Browns","4.50","2.60","1.73","0.45","11.7%","6.8%","4.9%",".270","1.37",".299","70.3%","100","81","","3.65","2.90","0.75","","","1004443"
"1965","Joe Horlen","White Sox","5.14","1.60","3.21","0.66","14.0%","4.4%","9.7%",".239","1.11",".264","70.5%","88","85","","2.88","2.90","-0.02","","","1006025"
"1916","Ray Fisher","Yankees","2.82","2.56","1.10","0.20","7.7%","7.0%","0.7%",".285","1.35",".306","68.6%","112","103","","3.17","2.90","0.27","","","1004095"
"1995","Shane Reynolds","Astros","8.32","1.76","4.73","0.71","22.1%","4.7%","17.4%",".260","1.23",".321","69.2%","88","72","","3.47","2.90","0.57","","","574"
"1967","Claude Osteen","Dodgers","4.74","1.62","2.92","0.59","12.8%","4.4%","8.4%",".263","1.21",".290","72.5%","103","97","","3.22","2.90","0.31","","","1009878"
"1877","Joe Blong","Brown Stockings","2.45","1.83","1.34","0.00","","","",".278","1.29",".298","49.8%","106","113","","2.74","2.90","-0.16","","","1001083"
"1967","Luis Tiant","Indians","9.22","2.82","3.27","1.01","25.1%","7.7%","17.4%",".220","1.14",".273","79.9%","86","87","","2.74","2.90","-0.17","","","1013054"
"1967","Don Sutton","Dodgers","6.54","2.20","2.96","0.70","17.6%","5.9%","11.6%",".248","1.20",".288","69.0%","127","97","","3.95","2.90","1.04","","","1012745"
"1915","Lee Meadows","Cardinals","3.84","3.25","1.18","0.18","","","",".252","1.31",".280","67.0%","109","106","","2.99","2.90","0.08","","","1008705"
"1874","Al Spalding","Red Stockings","0.16","0.34","0.48","0.01","","","",".302","1.26",".303","48.3%","78","96","","2.35","2.90","-0.55","","","1012300"
"1914","Doc Crandall","Terriers","3.86","2.39","1.62","0.37","","","",".260","1.26",".284","66.5%","107","102","","3.54","2.91","0.63","","","1002730"
"1902","Chick Fraser","Phillies","3.90","2.97","1.31","0.08","","","",".274","1.39",".306","65.4%","124","108","","3.42","2.91","0.51","","","1004305"
"1952","Bob Rush","Cubs","5.64","2.91","1.94","0.50","15.0%","7.8%","7.3%",".214","1.14",".243","70.9%","70","77","","2.70","2.91","-0.21","","","1011307"
"1911","Vean Gregg","Naps","4.60","3.16","1.45","0.07","","","",".200","1.05",".231","75.8%","53","93","","1.80","2.91","-1.10","","","1005022"
"2008","CC Sabathia","- - -","8.93","2.10","4.25","0.68","24.5%","5.8%","18.8%",".233","1.11",".297","77.7%","63","68","71","2.70","2.91","-0.20","3.06","3.15","404"
"1968","Milt Pappas","- - -","5.77","1.57","3.69","0.83","15.7%","4.3%","11.4%",".253","1.16",".282","72.6%","112","100","","3.47","2.91","0.57","","","1009989"
"1968","Gary Bell","Red Sox","4.65","3.07","1.51","0.32","12.5%","8.2%","4.2%",".235","1.23",".264","69.9%","97","85","","3.12","2.91","0.21","","","1000806"
"1919","Carl Mays","- - -","3.62","2.61","1.39","0.17","10.1%","7.2%","2.8%",".233","1.14",".257","72.6%","67","93","","2.10","2.91","-0.81","","","1008313"
"1926","Jakie May","Reds","5.53","2.36","2.34","0.21","14.7%","6.3%","8.4%",".268","1.31",".314","72.6%","87","79","","3.22","2.91","0.31","","","1008301"
"1914","Boardwalk Brown","- - -","3.68","3.25","1.13","0.14","","","",".260","1.35",".288","65.5%","129","103","","3.54","2.91","0.63","","","1001494"
"1978","Tommy John","Dodgers","5.24","2.24","2.34","0.46","13.6%","5.8%","7.8%",".269","1.33",".305","70.8%","94","81","","3.30","2.91","0.39","","","1006515"
"1914","Earl Hamilton","Browns","3.30","2.98","1.11","0.15","","","",".237","1.21",".260","71.7%","94","109","","2.50","2.91","-0.41","","","1005273"
"1881","Tim Keefe","Trojans","2.31","1.81","1.27","0.09","","","",".281","1.30",".298","54.1%","113","101","","3.25","2.91","0.34","","","1006743"
"1916","Joe Boehling","- - -","3.14","3.46","0.91","0.04","8.5%","9.4%","-0.9%",".266","1.37",".293","69.9%","105","103","","2.97","2.91","0.06","","","1001115"
"1987","Roger Clemens","Red Sox","8.18","2.65","3.08","0.61","22.1%","7.2%","15.0%",".233","1.18",".290","76.6%","65","67","","2.97","2.91","0.06","","","815"
